paper_id,title,summary,authors,categories,primary_category,published,updated,abs_url,pdf_url,comment,authors_joined,categories_joined,summary_chars,age_days,text_for_embedding
10.4018/979-8-2600-0413-5.ch006,"LLM-Based Autonomous Agents for Phishing Detection, Triage, and Response","This chapter presents an agentic intelligence framework for autonomous phishing detection and response in the context of evolving cyber warfare strategies. It introduces the Autonomous Phishing Detection and Action (APDA) architecture, which integrates large language models with perception, reasoning, action, and feedback layers to enable adaptive and explainable decision-making. This chapter examines how adversarial techniques, such as prompt injection, jailbreaking, hallucination, and data poisoning, threaten LLM-based cybersecurity systems, and outlines the corresponding mitigation strategies embedded within each architectural layer. A structured evaluation framework is proposed, including technical and operational metrics, alongside an illustrative enterprise email threat scenario. This chapter contributes a novel layered approach that bridges advances in natural language processing with autonomous cyber defense, offering a scalable and governance-aware solution for next-generation security operations.","['Ismail El Bazi', 'Jamal Ezzine', 'Brahim Ghazoui']",[],General,2026-07-31,2026-07-29,https://doi.org/10.4018/979-8-2600-0413-5.ch006,,Advances in Computational Intelligence and Robotics Agentic Intelligence and the Rise of Autonomous Cyber Warfare,"Ismail El Bazi, Jamal Ezzine, Brahim Ghazoui",General,1021,6,"Title: LLM-Based Autonomous Agents for Phishing Detection, Triage, and Response | Authors: Ismail El Bazi, Jamal Ezzine, Brahim Ghazoui | Summary: This chapter presents an agentic intelligence framework for autonomous phishing detection and response in the context of evolving cyber warfare strategies. It introduces the Autonomous Phishing Detection and Action (APDA) architecture, which integrates large language models with perception, reasoning, action, and feedback layers to enable adaptive and explainable decision-making. This chapter examines how adversarial techniques, such as prompt injection, jailbreaking, hallucination, and data poisoning, threaten LLM-based cybersecurity systems, and outlines the corresponding mitigation strategies embedded within each architectural layer. A structured evaluation framework is proposed, including technical and operational metrics, alongside an illustrative enterprise email threat scenario. This chapter contributes a novel layered approach that bridges advances in natural language processing with autonomous cyber defense, offering a scalable and governance-aware solution for next-generation security operations."
10.64898/2026.07.30.26359271,Agentic-TimesFM-AKI: A Dual LLM–Time Series Framework for Predicting Drug-Induced Acute Kidney Injury with Privacy-Preserving Synthetic Data,"Abstract Background Acute kidney injury (AKI) is a severe complication in intensive care units, frequently exacerbated by synergistic nephrotoxicity from drugs such as Vancomycin and Piperacillin-Tazobactam. Traditional alert systems relying on static thresholds suffer from high false-positive rates and delayed detection. Methods We developed Agentic-TimesFM-AKI, a dual-model architecture integrating a Large Language Model (Gemma-4 Sentinel) with a zero-shot time-series forecaster (TimesFM) to provide continuous, dynamic risk forecasting and transparent clinical reasoning. The system was trained on a synthetically generated cohort with differential privacy (ε=10) and evaluated on the publicly accessible eICU (N=200) and MIMIC-IV (N=117) Demo datasets. Results In the internal eICU pilot evaluation, the framework achieved an Accuracy of 0.970 (95% CI: 0.945-0.990) and an F1-Score of 0.966, successfully mapping temporal physiological trajectories into intelligible natural language alerts. However, external validation on the MIMIC-IV cohort revealed severe performance degradation. Conclusions While the dual-model framework provides highly accurate and interpretable AKI alerts on familiar schema cohorts, it suffers from structural formatting fragility and domain shift. This highlights critical vulnerabilities in applying generative models to out-of-distribution electronic health records.",['Gamal Esam Ahmed Alsakkaf'],[],General,2026-07-31,2026-08-03,https://doi.org/10.64898/2026.07.30.26359271,,,Gamal Esam Ahmed Alsakkaf,General,1405,6,"Title: Agentic-TimesFM-AKI: A Dual LLM–Time Series Framework for Predicting Drug-Induced Acute Kidney Injury with Privacy-Preserving Synthetic Data | Authors: Gamal Esam Ahmed Alsakkaf | Summary: Abstract Background Acute kidney injury (AKI) is a severe complication in intensive care units, frequently exacerbated by synergistic nephrotoxicity from drugs such as Vancomycin and Piperacillin-Tazobactam. Traditional alert systems relying on static thresholds suffer from high false-positive rates and delayed detection. Methods We developed Agentic-TimesFM-AKI, a dual-model architecture integrating a Large Language Model (Gemma-4 Sentinel) with a zero-shot time-series forecaster (TimesFM) to provide continuous, dynamic risk forecasting and transparent clinical reasoning. The system was trained on a synthetically generated cohort with differential privacy (ε=10) and evaluated on the publicly accessible eICU (N=200) and MIMIC-IV (N=117) Demo datasets. Results In the internal eICU pilot evaluation, the framework achieved an Accuracy of 0.970 (95% CI: 0.945-0.990) and an F1-Score of 0.966, successfully mapping temporal physiological trajectories into intelligible natural language alerts. However, external validation on the MIMIC-IV cohort revealed severe performance degradation. Conclusions While the dual-model framework provides highly accurate and interpretable AKI alerts on familiar schema cohorts, it suffers from structural formatting fragility and domain shift. This highlights critical vulnerabilities in applying generative models to out-of-distribution electronic health records."
10.21203/rs.3.rs-10346820/v1,Poor Man's Agentic Modeling: Simulating Large LLM-Agent Societies on a Laptop,"Abstract Simulating societies of many large language model (LLM) agents is expensive, yet the questions asked of such simulations are usually macroscopic: phase behaviour, stylised facts, and scaling with the number of agents N, not the cognition of any single agent. We turn a statistical-physics observation into a method: replace each LLM agent by a low-parameter model fitted from a few hundred to a few thousand cheap queries, then run the society at any N on a laptop. Whether this works is decided before the simulation runs, chiefly by what each agent perceives. We introduce an [interaction order × memory] taxonomy that maps perception and memory to an effective theory and a predicted N-trend of the surrogate error. We validate it on a faithful reimplementation of the LLM macroeconomy EconAgent and seven further named LLM simulations, with agent decisions cloned from genuine LLM elicitations (primarily DeepSeek) for a few dollars; the predicted error trends hold cell by cell, and the two refuted predictions, both on a strongly saturating response and traced to its curvature, are themselves matched quantitatively by the theory with no free parameters.",['Igor Itkin'],[],General,2026-07-15,2026-07-15,https://doi.org/10.21203/rs.3.rs-10346820/v1,,,Igor Itkin,General,1170,22,"Title: Poor Man's Agentic Modeling: Simulating Large LLM-Agent Societies on a Laptop | Authors: Igor Itkin | Summary: Abstract Simulating societies of many large language model (LLM) agents is expensive, yet the questions asked of such simulations are usually macroscopic: phase behaviour, stylised facts, and scaling with the number of agents N, not the cognition of any single agent. We turn a statistical-physics observation into a method: replace each LLM agent by a low-parameter model fitted from a few hundred to a few thousand cheap queries, then run the society at any N on a laptop. Whether this works is decided before the simulation runs, chiefly by what each agent perceives. We introduce an [interaction order × memory] taxonomy that maps perception and memory to an effective theory and a predicted N-trend of the surrogate error. We validate it on a faithful reimplementation of the LLM macroeconomy EconAgent and seven further named LLM simulations, with agent decisions cloned from genuine LLM elicitations (primarily DeepSeek) for a few dollars; the predicted error trends hold cell by cell, and the two refuted predictions, both on a strongly saturating response and traced to its curvature, are themselves matched quantitatively by the theory with no free parameters."
10.21203/rs.3.rs-10196595/v1,Containment over Detection: Cryptographic Boundary Enforcement for Prompt Injection Defense in Agentic LLM Systems,"Abstract Prompt injection—the manipulation of an LLM-based agent through adversarial content embedded in user input—poses a critical security risk in production agentic systems with access to sensitive datastores and code execution environments. Detection-based defenses (keyword filtering, learned classifiers) suffer from a fundamental accuracy–latency tradeoff and fail to address the root cause: the absence of a syntactic boundary between instructions and data in LLM context windows. We present a containment-based defense architecture that shifts the security objective from detecting malicious input to rendering injection attempts structurally inert. The defense comprises four composable layers: (1) ephemeral cryptographic token generation providing 256 bits of boundary entropy, (2) input canonicalization eliminating encoding-based bypass vectors, (3) token-authenticated XML envelope wrapping with server-side escape validation, and (4) behavioral prompt grounding that leverages the envelope as a trust signal. We formalize the security guarantee and prove that, under a black-box attacker model without oracle access to the runtime token, the probability of crafting a valid boundary escape is negligible (\(\le 2^{-256}\)). The architecture is validated through 15 machine-checkable correctness properties using the Hypothesis property-based testing framework—three of which caught security-critical bugs before production deployment. Empirical evaluation against 547 adversarial patterns drawn from four established attack corpora (Garak, OWASP LLM Top 10, HarmBench prompt injection subset, and a custom multilingual probe set) demonstrates a 94.3% syntactic containment rate; the 5.7% residual failures are confirmed to be model-level semantic jailbreaks orthogonal to input-layer defense. Measured runtime overhead is",['Saurabh Sharma'],[],General,2026-07-01,2026-07-01,https://doi.org/10.21203/rs.3.rs-10196595/v1,,,Saurabh Sharma,General,1838,36,"Title: Containment over Detection: Cryptographic Boundary Enforcement for Prompt Injection Defense in Agentic LLM Systems | Authors: Saurabh Sharma | Summary: Abstract Prompt injection—the manipulation of an LLM-based agent through adversarial content embedded in user input—poses a critical security risk in production agentic systems with access to sensitive datastores and code execution environments. Detection-based defenses (keyword filtering, learned classifiers) suffer from a fundamental accuracy–latency tradeoff and fail to address the root cause: the absence of a syntactic boundary between instructions and data in LLM context windows. We present a containment-based defense architecture that shifts the security objective from detecting malicious input to rendering injection attempts structurally inert. The defense comprises four composable layers: (1) ephemeral cryptographic token generation providing 256 bits of boundary entropy, (2) input canonicalization eliminating encoding-based bypass vectors, (3) token-authenticated XML envelope wrapping with server-side escape validation, and (4) behavioral prompt grounding that leverages the envelope as a trust signal. We formalize the security guarantee and prove that, under a black-box attacker model without oracle access to the runtime token, the probability of crafting a valid boundary escape is negligible (\(\le 2^{-256}\)). The architecture is validated through 15 machine-checkable correctness properties using the Hypothesis property-based testing framework—three of which caught security-critical bugs before production deployment. Empirical evaluation against 547 adversarial patterns drawn from four established attack corpora (Garak, OWASP LLM Top 10, HarmBench prompt injection subset, and a custom multilingual probe set) demonstrates a 94.3% syntactic containment rate; the 5.7% residual failures are confirmed to be model-level semantic jailbreaks orthogonal to input-layer defense. Measured runtime overhead is"
10.4018/979-8-3373-6650-0.ch016,Digital Leadership and Agentic AI in Higher Education,"The rapidly advancing digital transformation of higher education requires skilled digital leadership to manage complex technological and organisational changes. This advancement is presently being facilitated by the emergence of Agentic Artificial Intelligence (AI). These advanced agents provide innovative educational opportunities by serving as proactive tutors, metacognitive coaches, and collaborative teaching assistants, capable of tailored learning experiences and reducing administrative responsibilities for educators. The incorporation of these highly autonomous AI presents significant pedagogical and ethical issues. This chapter incorporates these converging dynamics, suggesting that academic leaders must proactively coordinate balanced human-AI collaborations to enhance educational achievement while strictly preserving human agency, equity, and academic integrity.","['Rosemol Pappachan', 'Shazi Shah Jabeen']",[],General,2026-06-30,2026-06-10,https://doi.org/10.4018/979-8-3373-6650-0.ch016,,Advances in Computational Intelligence and Robotics Augmenting Empathetic Leadership Through Agentic AI,"Rosemol Pappachan, Shazi Shah Jabeen",General,883,37,"Title: Digital Leadership and Agentic AI in Higher Education | Authors: Rosemol Pappachan, Shazi Shah Jabeen | Summary: The rapidly advancing digital transformation of higher education requires skilled digital leadership to manage complex technological and organisational changes. This advancement is presently being facilitated by the emergence of Agentic Artificial Intelligence (AI). These advanced agents provide innovative educational opportunities by serving as proactive tutors, metacognitive coaches, and collaborative teaching assistants, capable of tailored learning experiences and reducing administrative responsibilities for educators. The incorporation of these highly autonomous AI presents significant pedagogical and ethical issues. This chapter incorporates these converging dynamics, suggesting that academic leaders must proactively coordinate balanced human-AI collaborations to enhance educational achievement while strictly preserving human agency, equity, and academic integrity."
10.14293/pr2199.003969.v1,Agentic AI and LLM-Driven Framework for Contextual Anomaly Detection,"The rapid proliferation of autonomous LLM-based agents in high-stakes enterprise and operational environments has created a critical safety gap: these agents generate multi-step action plans that can fail through contextual misalignment, structural incoherence, or adversarial manipulation, yet traditional anomaly detection methods remain ill-equipped to address these novel failure modes. Conventional approaches—whether mean-pooling embeddings that dilute anomalous steps, contrastive-only methods that ignore sequential structure, or rule-based static defenses that fail to generalize—achieve limited effectiveness on agent trajectory validation tasks. This paper proposes a comprehensive framework that unifies agentic AI capabilities with LLM-driven contextual anomaly detection. The framework consists of three synergistic pillars: a sequence-aware Siamese Recurrent Autoencoder with hybrid contrastive-reconstruction loss that jointly learns task-trajectory alignment and structural validity, achieving high accuracy at low inference latency—significantly faster than LLM Judge baselines; a two-tier detection architecture combining fast spectral kill-switch mechanisms for sub-millisecond inline verification during agent execution with deep context-aware reasoning for precision; and adaptive multi-dimensional monitoring that normalizes heterogeneous metrics across capability, robustness, safety, human-centered, and economic axes, substantially reducing false-positive rates compared with static thresholds. Validated on enterprise-scale deployments processing thousands of agent sessions daily and benchmarked against real-world security audits and multi-agent system failures, the framework demonstrates robust detection performance while maintaining operational efficiency, outperforming state-of-the-art baselines by a significant margin. By bridging the gap between agentic autonomy and contextual safety verification, this work establishes a production-ready foundation for trustworthy LLM-driven agent deployment across safety-critical domains.",['Chang Lei'],[],General,2026-06-28,2026-07-02,https://doi.org/10.14293/pr2199.003969.v1,,,Chang Lei,General,2064,39,"Title: Agentic AI and LLM-Driven Framework for Contextual Anomaly Detection | Authors: Chang Lei | Summary: The rapid proliferation of autonomous LLM-based agents in high-stakes enterprise and operational environments has created a critical safety gap: these agents generate multi-step action plans that can fail through contextual misalignment, structural incoherence, or adversarial manipulation, yet traditional anomaly detection methods remain ill-equipped to address these novel failure modes. Conventional approaches—whether mean-pooling embeddings that dilute anomalous steps, contrastive-only methods that ignore sequential structure, or rule-based static defenses that fail to generalize—achieve limited effectiveness on agent trajectory validation tasks. This paper proposes a comprehensive framework that unifies agentic AI capabilities with LLM-driven contextual anomaly detection. The framework consists of three synergistic pillars: a sequence-aware Siamese Recurrent Autoencoder with hybrid contrastive-reconstruction loss that jointly learns task-trajectory alignment and structural validity, achieving high accuracy at low inference latency—significantly faster than LLM Judge baselines; a two-tier detection architecture combining fast spectral kill-switch mechanisms for sub-millisecond inline verification during agent execution with deep context-aware reasoning for precision; and adaptive multi-dimensional monitoring that normalizes heterogeneous metrics across capability, robustness, safety, human-centered, and economic axes, substantially reducing false-positive rates compared with static thresholds. Validated on enterprise-scale deployments processing thousands of agent sessions daily and benchmarked against real-world security audits and multi-agent system failures, the framework demonstrates robust detection performance while maintaining operational efficiency, outperforming state-of-the-art baselines by a significant margin. By bridging the gap between agentic autonomy and contextual safety verification, this work establishes a production-ready foundation for trustworthy LLM-driven agent deployment across safety-critical domains."
10.21203/rs.3.rs-8343110/v1,Agentic Task Allocation for Heterogeneous Multi-Robot Systems: A Hybrid LLM and Local Search Approach,"Abstract Task allocation among heterogeneous multi-robot teams can be a highly complex NP-hard problem. Traditional approaches, such as Mixed-Integer Programming (MIP) and heuristic search, typically struggle to balance computational scalability with solution quality. To overcome these challenges, we propose an emerging task allocation system based on an intelligent collaboration framework combining a Large Language Model and a Speed-Up Slow-Down(SUSD) derivative-free local search method. Specifically, we treat the Large Language Model as an intelligent reasoning engine, enabling the generation of optimal initial task allocations based on natural language descriptions. Subsequent task allocations are then converged using an iterative local search algorithm. A superior creativity and innovation within our method lie within a memory-guided feedback loop that facilitates utilizing successful historical experiences within a task allocation strategy without requiring parameter updates. Simulation experiments conducted within underwater exploration and urban delivery missions have shown that our task allocation strategy shortens average mission Makespan with 17.07% compared with traditional SUSD methods. At the same time, it surpasses conventional task allocation methods. Moreover, within our method, we determined that Large Language Model inference times remain relatively stable, thus scalable for large missions.","['Huibo Zhang', 'Shengkang Chen', 'Ziyi Xia', 'Huan Yin', 'Fumin Zhang']",[],General,2026-06-26,2026-06-26,https://doi.org/10.21203/rs.3.rs-8343110/v1,,,"Huibo Zhang, Shengkang Chen, Ziyi Xia, Huan Yin, Fumin Zhang",General,1431,41,"Title: Agentic Task Allocation for Heterogeneous Multi-Robot Systems: A Hybrid LLM and Local Search Approach | Authors: Huibo Zhang, Shengkang Chen, Ziyi Xia, Huan Yin, Fumin Zhang | Summary: Abstract Task allocation among heterogeneous multi-robot teams can be a highly complex NP-hard problem. Traditional approaches, such as Mixed-Integer Programming (MIP) and heuristic search, typically struggle to balance computational scalability with solution quality. To overcome these challenges, we propose an emerging task allocation system based on an intelligent collaboration framework combining a Large Language Model and a Speed-Up Slow-Down(SUSD) derivative-free local search method. Specifically, we treat the Large Language Model as an intelligent reasoning engine, enabling the generation of optimal initial task allocations based on natural language descriptions. Subsequent task allocations are then converged using an iterative local search algorithm. A superior creativity and innovation within our method lie within a memory-guided feedback loop that facilitates utilizing successful historical experiences within a task allocation strategy without requiring parameter updates. Simulation experiments conducted within underwater exploration and urban delivery missions have shown that our task allocation strategy shortens average mission Makespan with 17.07% compared with traditional SUSD methods. At the same time, it surpasses conventional task allocation methods. Moreover, within our method, we determined that Large Language Model inference times remain relatively stable, thus scalable for large missions."
10.61413/qcir6462,PIOAGENT: A HYBRID FINITE-STATE FRAMEWORK FOR DETERMINISTIC ORCHESTRATION OF LLM AGENTIC WORKFLOWS,"Large-language-model (LLM) agents built on free reasoning loops produce non-reproducible control flow, may run without bound, and fail in brittle ways, which makes them hard to deploy in regulated, latency-bound conversational systems such as contact centres and government service desks. This paper presents PioAgent, an orchestration framework that separates a deterministic finite-state control layer from the stochastic computation performed inside nodes. Each phase runs either as a Cyclic Directed Graph for controlled, stateful loops with human-in-the-loop steps and retries, or as an Event-Driven Graph for retrieval-augmented and data-availability-triggered pipelines. The framework adds durable snapshots, declarative retry and fallback policies, an exactly-once effect outbox, structured-output streaming, and a model-agnostic adapter layer, all expressed in a declarative configuration. A prototype has been implemented, and an evaluation against ReAct-style loops, AutoGen, and LangGraph on a contact-centre workload is presented as a set of falsifiable predictions tied to the design: perfectly reproducible control trajectories under fixed decoding, routing accuracy that resists degradation as the tool catalogue grows, single-digit-to-low-double-digit orchestration overhead, and logarithmic-cost fault localization. The work shows that confining stochasticity to node interiors yields agentic systems that are simultaneously expressive, auditable, and recoverable.",['Alakbar Taghi Valizada'],[],General,2026-06-25,2026-06-22,https://doi.org/10.61413/qcir6462,,Elmi Əsərlər,Alakbar Taghi Valizada,General,1482,42,"Title: PIOAGENT: A HYBRID FINITE-STATE FRAMEWORK FOR DETERMINISTIC ORCHESTRATION OF LLM AGENTIC WORKFLOWS | Authors: Alakbar Taghi Valizada | Summary: Large-language-model (LLM) agents built on free reasoning loops produce non-reproducible control flow, may run without bound, and fail in brittle ways, which makes them hard to deploy in regulated, latency-bound conversational systems such as contact centres and government service desks. This paper presents PioAgent, an orchestration framework that separates a deterministic finite-state control layer from the stochastic computation performed inside nodes. Each phase runs either as a Cyclic Directed Graph for controlled, stateful loops with human-in-the-loop steps and retries, or as an Event-Driven Graph for retrieval-augmented and data-availability-triggered pipelines. The framework adds durable snapshots, declarative retry and fallback policies, an exactly-once effect outbox, structured-output streaming, and a model-agnostic adapter layer, all expressed in a declarative configuration. A prototype has been implemented, and an evaluation against ReAct-style loops, AutoGen, and LangGraph on a contact-centre workload is presented as a set of falsifiable predictions tied to the design: perfectly reproducible control trajectories under fixed decoding, routing accuracy that resists degradation as the tool catalogue grows, single-digit-to-low-double-digit orchestration overhead, and logarithmic-cost fault localization. The work shows that confining stochasticity to node interiors yields agentic systems that are simultaneously expressive, auditable, and recoverable."
10.4018/979-8-2600-2601-4.ch004,Agentic AI and Autonomous Systems,"This chapter examines the rapidly evolving paradigm of Agentic Artificial Intelligence and Autonomous Systems, investigating how large language model-powered agents transition from passive query-response tools to active, goal-directed entities capable of multi-step reasoning, tool use, memory management, and self-correction. This chapter per the authors presents a formal taxonomy of agent architectures alongside analysis of enabling frameworks including ReAct, Reflexion, LangGraph, AutoGen, and CrewAI. Core topics include multi agent coordination, Retrieval-Augmented Generation, the Model Context Protocol, neuromorphic computing, and multimodal perception for embodied AI. Case studies spanning autonomous software engineering, clinical decision support, financial trading, and self-driving vehicles are evaluated. The chapter concludes with safety, alignment, governance, and quantum computing trajectories that will amplify agentic AI capabilities,contributing an engineering-first framework essential for researchers, practitioners, and policymakers navigating the Quantum AI era.","['S. Prince', 'K. DanielRaj', 'A. Anu Priya']",[],General,2026-06-24,2026-07-24,https://doi.org/10.4018/979-8-2600-2601-4.ch004,,Advances in Computational Intelligence and Robotics AI Paradigms for the Quantum Future,"S. Prince, K. DanielRaj, A. Anu Priya",General,1091,43,"Title: Agentic AI and Autonomous Systems | Authors: S. Prince, K. DanielRaj, A. Anu Priya | Summary: This chapter examines the rapidly evolving paradigm of Agentic Artificial Intelligence and Autonomous Systems, investigating how large language model-powered agents transition from passive query-response tools to active, goal-directed entities capable of multi-step reasoning, tool use, memory management, and self-correction. This chapter per the authors presents a formal taxonomy of agent architectures alongside analysis of enabling frameworks including ReAct, Reflexion, LangGraph, AutoGen, and CrewAI. Core topics include multi agent coordination, Retrieval-Augmented Generation, the Model Context Protocol, neuromorphic computing, and multimodal perception for embodied AI. Case studies spanning autonomous software engineering, clinical decision support, financial trading, and self-driving vehicles are evaluated. The chapter concludes with safety, alignment, governance, and quantum computing trajectories that will amplify agentic AI capabilities,contributing an engineering-first framework essential for researchers, practitioners, and policymakers navigating the Quantum AI era."
10.1609/aaaiss.v9i1.42944,The Agentic AI Army That Never Was: Projecting LLM Swarm Narratives with ‘Noisy’ LLM Sock Puppets and Whaley’s Theory of Outs,"This short position paper suggests there may be greater deception and influence of an attacker’s perceptions of a fictional ‘Agentic AI Army’ swarm of LLM sock puppet network defenders than deploying real LLM agent swarms. We model a counterintuitive industry approach integrating Whaley’s lesser-known Theory of Outs and “turnabout” deception techniques to encourage a human or LLM attacker’s discovery of deception on an industry network. While we recognize that the knowledge of real or imagined deception can deter an attacker, we also recognize that attackers may demonstrate greater confidence on a network after discovering what appears to be deception artifacts. We visualize how ‘noisy’ LLM sock puppets inside of a network that prompt optimized query returns on their content and placement on the network could draw attackers to later stage deception functions and effects and enhanced defender alerting and analysis on human or LLM attacker interaction with those deception functions. We find in anecdotal operational research that highlighting ‘noisy’ sock puppet content enhances high-fidelity detection. We frame these findings using this integrated industry model in the context of LLM swarm narratives for deception. There has been an increasing concentration on swarming as a military technique and military strategy, as modern military conflicts continue to adapt to irregular warfare environments. The renewed concentration on developing and integrating swarm intelligence with LLM agents continues to face limitations, in terms of simulating natural swarm behaviors and operating autonomously as part of a decentralized model. This short position paper proposes a more immediate deception and influence effect, namely projecting fictional LLM swarm narratives suggesting there is an ‘Agentic AI Army’ assisting human defenders. We use organizational perception management as a design framework to visualize a deception and influence narrative communicating this fictional narrative using ‘noisy’ LLM sock puppets and our integrated model of Whaley’s Theory of Outs and “turnabout” deception techniques.","['Tim Pappa', 'Christopher Williams']",[],General,2026-06-23,2026-06-23,https://doi.org/10.1609/aaaiss.v9i1.42944,https://ojs.aaai.org/index.php/AAAI-SS/article/download/42944/50504,Proceedings of the AAAI Symposium Series,"Tim Pappa, Christopher Williams",General,2122,44,"Title: The Agentic AI Army That Never Was: Projecting LLM Swarm Narratives with ‘Noisy’ LLM Sock Puppets and Whaley’s Theory of Outs | Authors: Tim Pappa, Christopher Williams | Summary: This short position paper suggests there may be greater deception and influence of an attacker’s perceptions of a fictional ‘Agentic AI Army’ swarm of LLM sock puppet network defenders than deploying real LLM agent swarms. We model a counterintuitive industry approach integrating Whaley’s lesser-known Theory of Outs and “turnabout” deception techniques to encourage a human or LLM attacker’s discovery of deception on an industry network. While we recognize that the knowledge of real or imagined deception can deter an attacker, we also recognize that attackers may demonstrate greater confidence on a network after discovering what appears to be deception artifacts. We visualize how ‘noisy’ LLM sock puppets inside of a network that prompt optimized query returns on their content and placement on the network could draw attackers to later stage deception functions and effects and enhanced defender alerting and analysis on human or LLM attacker interaction with those deception functions. We find in anecdotal operational research that highlighting ‘noisy’ sock puppet content enhances high-fidelity detection. We frame these findings using this integrated industry model in the context of LLM swarm narratives for deception. There has been an increasing concentration on swarming as a military technique and military strategy, as modern military conflicts continue to adapt to irregular warfare environments. The renewed concentration on developing and integrating swarm intelligence with LLM agents continues to face limitations, in terms of simulating natural swarm behaviors and operating autonomously as part of a decentralized model. This short position paper proposes a more immediate deception and influence effect, namely projecting fictional LLM swarm narratives suggesting there is an ‘Agentic AI Army’ assisting human defenders. We use organizational perception management as a design framework to visualize a deception and influence narrative communicating this fictional narrative using ‘noisy’ LLM sock puppets and our integrated model of Whaley’s Theory of Outs and “turnabout” deception techniques."
